Item Type	Filter Code	ID	Affix	Attributes	Magic Only	alvl	rlvl	freq	group	Changes
Circlets	CIRC		Slayer's	+1 to Barbarian Skill Levels		36	27	4	125	
Circlets	CIRC		Berserker's	+2 to Barbarian Skill Levels		90	67	2	125	
Circlets	CIRC		Shaman's	+1 to Druid Skill Levels		36	27	4	125	
Circlets	CIRC		Hierophant's	+2 to Druid Skill Levels		90	67	2	125	
Circlets	CIRC		Trainer's	+1 to Summoning Skills (Druid Only)		20	15	1	125	
Circlets	CIRC		Caretaker's	+2 to Summoning Skills (Druid Only)		40	30	1	125	
Circlets	CIRC		Keeper's	+3 to Summoning Skills (Druid Only)	1	60	45	1	125	
Circlets	CIRC		Spiritual	+1 to Shape Shifting Skills (Druid Only)		20	15	1	125	
Circlets	CIRC		Feral	+2 to Shape Shifting Skills (Druid Only)		40	30	1	125	
Circlets	CIRC		Communal	+3 to Shape Shifting Skills (Druid Only)	1	60	45	1	125	
Circlets	CIRC		Nature's	+1 to Elemental Skills (Druid Only)		20	15	1	125	
Circlets	CIRC		Terra's	+2 to Elemental Skills (Druid Only)		40	30	1	125	
Circlets	CIRC		Gaea's	+3 to Elemental Skills (Druid Only)	1	60	45	1	125	
Circlets	CIRC		Magekiller's	+1 to Assassin Skills		36	27	4	125	
Circlets	CIRC		Witch-hunter's	+2 to Assassin Skills		90	67	2	125	
Circlets	CIRC		Entrapping	+1 to Traps (Assassin Only)		20	15	1	125	added Dagger
Circlets	CIRC		Trickster's	+2 to Traps (Assassin Only)		40	30	1	125	added Dagger
Circlets	CIRC		Cunning	+3 to Traps (Assassin Only)	1	60	45	1	125	added Dagger
Circlets	CIRC		Mentalist's	+1 to Shadow Disciplines (Assassin Only)		20	15	1	125	added Dagger
Circlets	CIRC		Psychic	+2 to Shadow Disciplines (Assassin Only)		40	30	1	125	added Dagger
Circlets	CIRC		Shadow	+3 to Shadow Disciplines (Assassin Only)	1	60	45	1	125	added Dagger
Circlets	CIRC		Shogukusha's	+1 to Martial Arts (Assassin Only)		20	15	1	125	added Dagger
Circlets	CIRC		Sensei's	+2 to Martial Arts (Assassin Only)		40	30	1	125	added Dagger
Circlets	CIRC		Kenshi's	+3 to Martial Arts (Assassin Only)	1	60	45	1	125	added Dagger
Circlets	CIRC		Snowy	Adds [20-30] to [64-101] Cold Damage (1 second chill)		25-65	18	3	137	added max alvl, split off Circlet, added Quiver, damage was [6-9] to [19-30]
Circlets	CIRC		Snowy	Adds [6-9] to [19-30] Cold Damage (1 second chill)		25-65	18	3	137	new (split off), added max alvl
Circlets	CIRC		Fiery	Adds [16-25] to [31-60] Fire Damage		25-65	18	3	138	new (split off), added max alvl
Circlets	CIRC		Static	Adds 1 to [49-120] Lightning Damage		25-65	18	3	139	added max alvl, added Quiver
Circlets	CIRC		Septic	+6 Poison Damage over 2 seconds		1-41	1	3	140	added max alvl, added Quiver
Circlets	CIRC		Blood Letting	+1 Life after each Kill		13-53	12	3	200	new
Circlets	CIRC		Murderous	+[2-5] Life after each Kill		51	44	1	200	new
Gloves	GLOVES	143/144	Sturdy	+[20-30]% Enhanced Defense		1-41	3	14	101	added max alvl, increased frequency
Gloves	GLOVES	145	Strong	+[31-40]% Enhanced Defense		9-49	6	12	101	added max alvl, increased frequency
Gloves	GLOVES	146	Glorious	+[41-50]% Enhanced Defense		19-59	14	12	101	added max alvl, increased frequency
Gloves	GLOVES	147	Blessed	+[51-65]% Enhanced Defense		25	18	11	101	increased frequency
Gloves	GLOVES	148	Saintly	+[66-80]% Enhanced Defense		31	23	11	101	increased frequency
Gloves	GLOVES	149	Holy	+[81-100]% Enhanced Defense		36	27	9	101	increased frequency
Gloves	GLOVES	150	Godly	+[101-200]% Enhanced Defense		45	38	6	101	was 1, increased frequency
Gloves	GLOVES	520	Faithful (Paleoscene)	+[0-49] Defense (+0.5 per Level)		30	22	3	101	
Gloves	GLOVES	26	Bronze	+[10-20] to Attack Rating		1-41	1	8	110	added max alvl, added Helm, Chest, Gloves
Gloves	GLOVES	27	Iron	+[21-40] to Attack Rating		4-44	3	8	110	added max alvl, added Helm, Chest, Gloves
Gloves	GLOVES	28	Steel	+[41-60] to Attack Rating		8	6	7	110	added Helm, Chest, Gloves
Gloves	GLOVES	29	Silver	+[61-80] to Attack Rating		12	9	7	110	added Helm, Chest, Gloves, Quiver
Gloves	GLOVES	31	Gold	+[81-100] to Attack Rating		17	12	6	110	added Helm, Chest, Gloves, Quiver
Gloves	GLOVES	32	Platinum	+[101-120] to Attack Rating		22	16	6	110	added Helm, Chest, Gloves, Quiver
Gloves	GLOVES	266	Glimmering	+1 to Light Radius		1-41	1	1	112	added max alvl
Gloves	GLOVES	267	Glowing	+2 to Light Radius		6-46	4	1	112	added max alvl
Gloves	GLOVES		Serpent's	+[11-20] to Mana		37	27	2	115	new (split off)
Gloves	GLOVES	310	Dragon's	+[31-40] to Mana		52	39	2	115	
Gloves	GLOVES		Azure	Cold Resist +5%		1-4	1	3	117	
Gloves	GLOVES		Azure	Cold Resist +[5-10]%		5-45	3	2	117	added max alvl, added Quiver
Gloves	GLOVES		Lapis	Cold Resist +[11-20]%		12	9	4	117	added Quiver
Gloves	GLOVES		Cobalt	Cold Resist +[21-30]%		18	13	3	117	added Quiver
Gloves	GLOVES		Crimson	Fire Resist +5%		1-4	1	3	118	
Gloves	GLOVES		Crimson	Fire Resist +[5-10]%		5-45	3	4	118	added max alvl, added Quiver
Gloves	GLOVES		Russet	Fire Resist +[11-20]%		12	9	4	118	added Quiver
Gloves	GLOVES		Garnet	Fire Resist +[21-30]%		18	13	3	118	added Quiver
Gloves	GLOVES		Tangerine	Lightning Resist +5%		1-4	1	3	119	
Gloves	GLOVES		Tangerine	Lightning Resist +[5-10]%		5-45	3	4	119	added max alvl, added Quiver
Gloves	GLOVES		Ocher	Lightning Resist +[11-20]%		12	9	4	119	added Quiver
Gloves	GLOVES		Coral	Lightning Resist +[21-30]%		18	13	3	119	added Quiver
Gloves	GLOVES		Beryl	Poison Resist +5%		1-4	1	3	120	
Gloves	GLOVES		Beryl	Poison Resist +[5-10]%		5-45	3	4	120	added max alvl, added Quiver
Gloves	GLOVES		Viridian	Poison Resist +[11-20]%		12	9	4	120	added Quiver
Gloves	GLOVES		Jade	Poison Resist +[21-30]%		18	13	3	120	added Quiver
Gloves	GLOVES		Fletcher's	+1 to Bow and Crossbow Skills (Amazon Only)		20	15	1	125	added Circlet, Quiver, Amulet
Gloves	GLOVES		Bowyer's	+2 to Bow and Crossbow Skills (Amazon Only)		40	30	1	125	added Circlet, Quiver, Amulet
Gloves	GLOVES		Archer's	+3 to Bow and Crossbow Skills (Amazon Only)	1	60	45	1	125	added Circlet, Quiver, Amulet
Gloves	GLOVES		Acrobat's	+1 to Passive and Magic Skills (Amazon Only)		20	15	1	125	added Quiver
Gloves	GLOVES		Gymnast's	+2 to Passive and Magic Skills (Amazon Only)		40	30	1	125	added Quiver
Gloves	GLOVES		Athlete's	+3 to Passive and Magic Skills (Amazon Only)	1	60	45	1	125	added Quiver
Gloves	GLOVES		Harpoonist's	+1 to Javelin and Spear Skills (Amazon Only)		20	15	1	125	added Amulet, Circlet
Gloves	GLOVES		Spearmaiden's	+2 to Javelin and Spear Skills (Amazon Only)		40	30	1	125	added Amulet, Circlet
Gloves	GLOVES		Lancer's	+3 to Javelin and Spear Skills (Amazon Only)	1	60	45	1	125	new (split off), added Circlet
Gloves	GLOVES		Shogukusha's	+1 to Martial Arts (Assassin Only)		20	15	1	125	added Dagger
Gloves	GLOVES		Sensei's	+2 to Martial Arts (Assassin Only)		40	30	1	125	added Dagger
Gloves	GLOVES		Kenshi's	+3 to Martial Arts (Assassin Only)	1	60	45	1	125	added Dagger
Amulets	amu	199	Vulpine	[7-12]% Damage Taken Gained as Mana when Hit		9-49	6	3	107	added max alvl
Amulets	amu	26	Bronze	+[10-20] to Attack Rating		1-41	1	8	110	added max alvl, added Helm, Chest, Gloves
Amulets	amu	266	Glimmering	+1 to Light Radius		1-41	1	1	112	added max alvl
Amulets	amu	267	Glowing	+2 to Light Radius		6-46	4	1	112	added max alvl
Amulets	amu		Felicitous	[5-10]% Better Chance of Getting Magic Items		5	3	4	114	added Helm
Amulets	amu		Fortuitous	[11-15]% Better Chance of Getting Magic Items		12	8	4	114	was 1, added Helm
Amulets	amu		Lizard's	+[1-2] to Mana		1-2	1	4	115	
Amulets	amu		Lizard's	+[3-5] to Mana		3-43	2	4	115	added max alvl
Amulets	amu		Snake's	+[5-10] to Mana		6-46	4	4	115	added max alvl, added Quiver
Amulets	amu		Serpent's	+[11-20] to Mana		14	10	3	115	new (split off)
Amulets	amu	308	Drake's	+[21-30] to Mana		20	15	2	115	added Quiver
Amulets	amu	309	Dragon's	+[31-40] to Mana		24	18	2	115	added Quiver
Amulets	amu	311	Wyrm's	+[41-60] to Mana		30	22	2	115	added chest & shield
Amulets	amu	312	Great Wyrm's	+[61-90] to Mana		37	29	2	115	added chest & shield
Amulets	amu	313	Bahamut's	+[91-120] to Mana		45	37	2	115	was 1
Amulets	amu	328	Shimmering	All Resistances +[3-7]		8-48	6	5	116	added max alvl, added Helm
Amulets	amu	329	Rainbow	All Resistances +[8-11]		21	15	5	116	added Helm
Amulets	amu	330	Scintillating	All Resistances +[12-15]		34	25	5	116	added Quiver & Helm
Amulets	amu	331	Prismatic	All Resistances +[16-20]		42	31	4	116	added Helm
Amulets	amu	332	Chromatic	All Resistances +[21-30]	1	55	41	3	116	
Amulets	amu		Azure	Cold Resist +5%		1-4	1	3	117	
Amulets	amu		Azure	Cold Resist +[5-10]%		5-45	3	2	117	added max alvl, added Quiver
Amulets	amu		Lapis	Cold Resist +[11-20]%		12	9	4	117	added Quiver
Amulets	amu		Cobalt	Cold Resist +[21-30]%		18	13	3	117	added Quiver
Amulets	amu	355	Sapphire	Cold Resist +[31-40]%		25	18	3	117	added Chest, Helm & Shield
Amulets	amu		Crimson	Fire Resist +5%		1-4	1	3	118	
Amulets	amu		Crimson	Fire Resist +[5-10]%		5-45	3	4	118	added max alvl, added Quiver
Amulets	amu		Russet	Fire Resist +[11-20]%		12	9	4	118	added Quiver
Amulets	amu		Garnet	Fire Resist +[21-30]%		18	13	3	118	added Quiver
Amulets	amu	374	Ruby	Fire Resist +[31-40]%		25	18	3	118	added Chest, Helm & Shield
Amulets	amu		Tangerine	Lightning Resist +5%		1-4	1	3	119	
Amulets	amu		Tangerine	Lightning Resist +[5-10]%		5-45	3	4	119	added max alvl, added Quiver
Amulets	amu		Ocher	Lightning Resist +[11-20]%		12	9	4	119	added Quiver
Amulets	amu		Coral	Lightning Resist +[21-30]%		18	13	3	119	added Quiver
Amulets	amu	394	Amber	Lightning Resist +[31-40]%		25	18	3	119	added Chest, Helm & Shield
Amulets	amu		Beryl	Poison Resist +5%		1-4	1	3	120	
Amulets	amu		Beryl	Poison Resist +[5-10]%		5-45	3	4	120	added max alvl, added Quiver
Amulets	amu		Viridian	Poison Resist +[11-20]%		12	9	4	120	added Quiver
Amulets	amu		Jade	Poison Resist +[21-30]%		18	13	3	120	added Quiver
Amulets	amu	414	Emerald	Poison Resist +[31-40]%		25	18	3	120	added Chest, Helm & Shield
Amulets	amu		Maiden's	+1 to Amazon Skill Levels		36	27	4	125	
Amulets	amu		Valkyrie's	+2 to Amazon Skill Levels		90	67	2	125	
Amulets	amu		Fletcher's	+1 to Bow and Crossbow Skills (Amazon Only)		20	15	1	125	added Circlet, Quiver, Amulet
Amulets	amu		Bowyer's	+2 to Bow and Crossbow Skills (Amazon Only)		40	30	1	125	added Circlet, Quiver, Amulet
Amulets	amu		Archer's	+3 to Bow and Crossbow Skills (Amazon Only)	1	60	45	1	125	added Circlet, Quiver, Amulet
Amulets	amu		Acrobat's	+1 to Passive and Magic Skills (Amazon Only)		20	15	1	125	added Quiver
Amulets	amu		Gymnast's	+2 to Passive and Magic Skills (Amazon Only)		40	30	1	125	added Quiver
Amulets	amu		Athlete's	+3 to Passive and Magic Skills (Amazon Only)	1	60	45	1	125	added Quiver
Amulets	amu		Harpoonist's	+1 to Javelin and Spear Skills (Amazon Only)		20	15	1	125	added Amulet, Circlet
Amulets	amu		Spearmaiden's	+2 to Javelin and Spear Skills (Amazon Only)		40	30	1	125	added Amulet, Circlet
Amulets	amu		Lancer's	+3 to Javelin and Spear Skills (Amazon Only)	1	60	45	1	125	new
Amulets	amu		Angel's	+1 to Sorceress Skill Levels		36	27	4	125	
Amulets	amu		Arch-Angel's	+2 to Sorceress Skill Levels		90	67	2	125	
Amulets	amu		Burning	+1 to Fire Spells (Sorceress Only)		20	15	1	125	
Amulets	amu		Blazing	+2 to Fire Spells (Sorceress Only)		40	30	1	125	
Amulets	amu		Volcanic	+3 to Fire Spells (Sorceress Only)	1	60	45	1	125	
Amulets	amu		Sparking	+1 to Lightning Spells (Sorceress Only)		20	15	1	125	
Amulets	amu		Charged	+2 to Lightning Spells (Sorceress Only)		40	30	1	125	
Amulets	amu		Powered	+3 to Lightning Spells (Sorceress Only)	1	60	45	1	125	
Amulets	amu		Chilling	+1 to Cold Spells (Sorceress Only)		20	15	1	125	
Amulets	amu		Freezing	+2 to Cold Spells (Sorceress Only)		40	30	1	125	
Amulets	amu		Glacial	+3 to Cold Spells (Sorceress Only)	1	60	45	1	125	
Amulets	amu		Summoner's	+1 to Necromancer Skill Levels		36	27	4	125	
Amulets	amu		Necromancer's	+2 to Necromancer Skill Levels		90	67	2	125	
Amulets	amu		Hexing	+1 to Curses (Necromancer Only)		20	15	1	125	
Amulets	amu		Blighting	+2 to Curses (Necromancer Only)		40	30	1	125	
Amulets	amu		Accursed	+3 to Curses (Necromancer Only)	1	60	45	1	125	
Amulets	amu		Fungal	+1 to Poison and Bone Spells (Necromancer Only)		20	15	1	125	
Amulets	amu		Noxious	+2 to Poison and Bone Spells (Necromancer Only)		40	30	1	125	
Amulets	amu		Venomous	+3 to Poison and Bone Spells (Necromancer Only)	1	60	45	1	125	
Amulets	amu		Graverobber's	+1 to Summoning Spells (Necromancer Only)		20	15	1	125	
Amulets	amu		Vodoun	+2 to Summoning Spells (Necromancer Only)		40	30	1	125	
Amulets	amu		Golemlord's	+3 to Summoning Spells (Necromancer Only)	1	60	45	1	125	
Amulets	amu		Monk's	+1 to Paladin Skill Levels		36	27	4	125	
Amulets	amu		Priest's	+2 to Paladin Skill Levels		90	67	2	125	
Amulets	amu		Lion Branded	+1 to Combat Skills (Paladin Only)		20	15	1	125	
Amulets	amu		Hawk Branded	+2 to Combat Skills (Paladin Only)		40	30	1	125	
Amulets	amu		Rose Branded	+3 to Combat Skills (Paladin Only)	1	60	45	1	125	
Amulets	amu		Captain's	+1 to Offensive Auras (Paladin Only)		20	15	1	125	
Amulets	amu		Commander's	+2 to Offensive Auras (Paladin Only)		40	30	1	125	
Amulets	amu		Marshal's	+3 to Offensive Auras (Paladin Only)	1	60	45	1	125	
Amulets	amu		Preserver's	+1 to Defensive Auras (Paladin Only)		20	15	1	125	
Amulets	amu		Warder's	+2 to Defensive Auras (Paladin Only)		40	30	1	125	
Amulets	amu		Guardian's	+3 to Defensive Auras (Paladin Only)	1	60	45	1	125	
Amulets	amu		Slayer's	+1 to Barbarian Skill Levels		36	27	4	125	
Amulets	amu		Berserker's	+2 to Barbarian Skill Levels		90	67	2	125	
Amulets	amu		Fanatic	+1 to Combat Masteries (Barbarian Only)		20	15	1	125	removed Knife
Amulets	amu		Raging	+2 to Combat Masteries (Barbarian Only)		40	30	1	125	removed Knife
Amulets	amu		Furious	+3 to Combat Masteries (Barbarian Only)	1	60	45	1	125	removed Knife
Amulets	amu		Sounding	+1 to Warcries (Barbarian Only)		20	15	1	125	removed Knife
Amulets	amu		Resonant	+2 to Warcries (Barbarian Only)		40	30	1	125	removed Knife
Amulets	amu		Echoing	+3 to Warcries (Barbarian Only)	1	60	45	1	125	removed Knife
Amulets	amu		Shaman's	+1 to Druid Skill Levels		36	27	4	125	
Amulets	amu		Hierophant's	+2 to Druid Skill Levels		90	67	2	125	
Amulets	amu		Trainer's	+1 to Summoning Skills (Druid Only)		20	15	1	125	
Amulets	amu		Caretaker's	+2 to Summoning Skills (Druid Only)		40	30	1	125	
Amulets	amu		Keeper's	+3 to Summoning Skills (Druid Only)	1	60	45	1	125	
Amulets	amu		Spiritual	+1 to Shape Shifting Skills (Druid Only)		20	15	1	125	
Amulets	amu		Feral	+2 to Shape Shifting Skills (Druid Only)		40	30	1	125	
Amulets	amu		Communal	+3 to Shape Shifting Skills (Druid Only)	1	60	45	1	125	
Amulets	amu		Nature's	+1 to Elemental Skills (Druid Only)		20	15	1	125	
Amulets	amu		Terra's	+2 to Elemental Skills (Druid Only)		40	30	1	125	
Amulets	amu		Gaea's	+3 to Elemental Skills (Druid Only)	1	60	45	1	125	
Amulets	amu		Magekiller's	+1 to Assassin Skills		36	27	4	125	
Amulets	amu		Witch-hunter's	+2 to Assassin Skills		90	67	2	125	
Amulets	amu		Entrapping	+1 to Traps (Assassin Only)		20	15	1	125	added Dagger
Amulets	amu		Trickster's	+2 to Traps (Assassin Only)		40	30	1	125	added Dagger
Amulets	amu		Cunning	+3 to Traps (Assassin Only)	1	60	45	1	125	added Dagger
Amulets	amu		Mentalist's	+1 to Shadow Disciplines (Assassin Only)		20	15	1	125	added Dagger
Amulets	amu		Psychic	+2 to Shadow Disciplines (Assassin Only)		40	30	1	125	added Dagger
Amulets	amu		Shadow	+3 to Shadow Disciplines (Assassin Only)	1	60	45	1	125	added Dagger
Amulets	amu		Shogukusha's	+1 to Martial Arts (Assassin Only)		20	15	1	125	added Dagger
Amulets	amu		Sensei's	+2 to Martial Arts (Assassin Only)		40	30	1	125	added Dagger
Amulets	amu		Kenshi's	+3 to Martial Arts (Assassin Only)	1	60	45	1	125	added Dagger
Amulets	amu	891	Tricky	[13-20]% damage taken goes to mana		29	21	3	107	new
Amulets	amu	892	Devious	[21-30]% damage taken goes to mana		49	41	3	107	new
Rings	rin	26	Bronze	+[10-20] to Attack Rating		1-41	1	8	110	added max alvl, added Helm, Chest, Gloves
Rings	rin	27	Iron	+[21-40] to Attack Rating		4-44	3	8	110	added max alvl, added Helm, Chest, Gloves
Rings	rin	28	Steel	+[41-60] to Attack Rating		8	6	7	110	added Helm, Chest, Gloves
Rings	rin	29	Silver	+[61-80] to Attack Rating		12	9	7	110	added Helm, Chest, Gloves, Quiver
Rings	rin	31	Gold	+[81-100] to Attack Rating		17	12	6	110	added Helm, Chest, Gloves, Quiver
Rings	rin	32	Platinum	+[101-120] to Attack Rating		22	16	6	110	added Helm, Chest, Gloves, Quiver
Rings	rin	266	Glimmering	+1 to Light Radius		1-41	1	1	112	added max alvl
Rings	rin	267	Glowing	+2 to Light Radius		6-46	4	1	112	added max alvl
Rings	rin		Felicitous	[5-10]% Better Chance of Getting Magic Items		5	3	4	114	added Helm
Rings	rin		Fortuitous	[11-15]% Better Chance of Getting Magic Items		12	8	4	114	was 1, added Helm
Rings	rin		Lizard's	+[1-2] to Mana		1-2	1	4	115	
Rings	rin		Lizard's	+[3-5] to Mana		3-43	2	4	115	added max alvl
Rings	rin		Snake's	+[5-10] to Mana		6-46	4	4	115	added max alvl, added Quiver
Rings	rin		Serpent's	+[11-20] to Mana		14	10	3	115	new (split off)
Rings	rin	308	Drake's	+[21-30] to Mana		20	15	2	115	added Quiver
Rings	rin	309	Dragon's	+[31-40] to Mana		24	18	2	115	added Quiver
Rings	rin	311	Wyrm's	+[41-60] to Mana		30	22	2	115	added chest & shield
Rings	rin	312	Great Wyrm's	+[61-90] to Mana		37	29	2	115	added chest & shield
Rings	rin	313	Bahamut's	+[91-120] to Mana		45	37	2	115	was 1
Rings	rin	333	Shimmering	All Resistances +[3-7]		45	37	3	116	
Rings	rin	334	Rainbow	All Resistances +[8-11]		56	48	2	116	
Rings	rin	335	Scintillating	All Resistances +[12-15]	1	67	59	2	116	
Rings	rin		Azure	Cold Resist +5%		1-4	1	3	117	
Rings	rin		Azure	Cold Resist +[5-10]%		5-45	3	2	117	added max alvl, added Quiver
Rings	rin		Lapis	Cold Resist +[11-20]%		12	9	4	117	added Quiver
Rings	rin		Cobalt	Cold Resist +[21-30]%		18	13	3	117	added Quiver
Rings	rin		Crimson	Fire Resist +5%		1-4	1	3	118	
Rings	rin		Crimson	Fire Resist +[5-10]%		5-45	3	4	118	added max alvl, added Quiver
Rings	rin		Russet	Fire Resist +[11-20]%		12	9	4	118	added Quiver
Rings	rin		Garnet	Fire Resist +[21-30]%		18	13	3	118	added Quiver
Rings	rin		Tangerine	Lightning Resist +5%		1-4	1	3	119	
Rings	rin		Tangerine	Lightning Resist +[5-10]%		5-45	3	4	119	added max alvl, added Quiver
Rings	rin		Ocher	Lightning Resist +[11-20]%		12	9	4	119	added Quiver
Rings	rin		Coral	Lightning Resist +[21-30]%		18	13	3	119	added Quiver
Rings	rin		Beryl	Poison Resist +5%		1-4	1	3	120	
Rings	rin		Beryl	Poison Resist +[5-10]%		5-45	3	4	120	added max alvl, added Quiver
Rings	rin		Viridian	Poison Resist +[11-20]%		12	9	4	120	added Quiver
Rings	rin		Jade	Poison Resist +[21-30]%		18	13	3	120	added Quiver
Rings	rin		Triumphant	+1 to Mana after each Kill		3-43	2	4	121	added max alvl, added Chest, Helm, Shield, Quiver
Rings	rin		Blood Letting	+1 Life after each Kill		13-53	12	3	200	new
Rings	rin		Blood Sucking	+[1-3] Life after each Kill		32	26	2	200	new
Bow and Crossbow Quivers	aqv OR cqv	166	Scarlet	+[1-4] to Minimum Damage		8	6	4	103	new*
Bow and Crossbow Quivers	aqv OR cqv	167	Crimson	+[5-8] to Minimum Damage		38	30	4	103	new
Bow and Crossbow Quivers	aqv OR cqv	784	Cardinal	+[10-14] to Minimum Damage		38	30	4	103	new
Bow and Crossbow Quivers	aqv OR cqv	183	Carbuncle	+[1-5] to Maximum Damage		12	9	4	104	new*
Bow and Crossbow Quivers	aqv OR cqv	184	Carmine	+[6-9] to Maximum Damage		35	27	4	104	new*
Bow and Crossbow Quivers	aqv OR cqv	185	Vermillion	+[11-15] to Maximum Damage		58	50	4	104	new*
Bow and Crossbow Quivers	aqv OR cqv	799	Jagged	+[10-20]% Enhanced Damage		1	1	9	105	new
Bow and Crossbow Quivers	aqv OR cqv	800	Deadly	+[21-30]% Enhanced Damage		5	3	9	105	new
Bow and Crossbow Quivers	aqv OR cqv	801	Vicious	+[31-40]% Enhanced Damage		8	6	8	105	new
Bow and Crossbow Quivers	aqv OR cqv	802	Brutal	+[41-50]% Enhanced Damage		14	10	8	105	new
Bow and Crossbow Quivers	aqv OR cqv	803	Massive	+[51-65]% Enhanced Damage		20	15	7	105	new
Bow and Crossbow Quivers	aqv OR cqv	783	Savage	+[66-80]% Enhanced Damage	1	26	19	7	105	new
Bow and Crossbow Quivers	aqv OR cqv	29	Silver	+[61-80] to Attack Rating		12	9	7	110	added Helm, Chest, Gloves, Quiver
Bow and Crossbow Quivers	aqv OR cqv	31	Gold	+[81-100] to Attack Rating		17	12	6	110	added Helm, Chest, Gloves, Quiver
Bow and Crossbow Quivers	aqv OR cqv	32	Platinum	+[101-120] to Attack Rating		22	16	6	110	added Helm, Chest, Gloves, Quiver
Bow and Crossbow Quivers	aqv OR cqv	33	Meteoric	+[121-150] to Attack Rating		27	20	5	110	added Quiver
Bow and Crossbow Quivers	aqv OR cqv	780	Strange	+[151-300] to Attack Rating	1	32	24	5	110	new
Bow and Crossbow Quivers	aqv OR cqv		Snake's	+[5-10] to Mana		6-46	4	4	115	added max alvl, added Quiver
Bow and Crossbow Quivers	aqv OR cqv		Serpent's	+[11-20] to Mana		14-54	10	3	115	split off Belt, Ring, Amulet, added max alvl
Bow and Crossbow Quivers	aqv OR cqv	308	Drake's	+[21-30] to Mana		20	15	2	115	added Quiver
Bow and Crossbow Quivers	aqv OR cqv	309	Dragon's	+[31-40] to Mana		24	18	2	115	added Quiver
Bow and Crossbow Quivers	aqv OR cqv	336	Shimmering	All Resistances +[5-10]		16	12	1	116	new*
Bow and Crossbow Quivers	aqv OR cqv	330	Scintillating	All Resistances +[12-15]		34	25	5	116	added Quiver & Helm
Bow and Crossbow Quivers	aqv OR cqv		Azure	Cold Resist +[5-10]%		5-45	3	2	117	added max alvl, added Quiver
Bow and Crossbow Quivers	aqv OR cqv		Lapis	Cold Resist +[11-20]%		12	9	4	117	added Quiver
Bow and Crossbow Quivers	aqv OR cqv		Cobalt	Cold Resist +[21-30]%		18	13	3	117	added Quiver
Bow and Crossbow Quivers	aqv OR cqv		Crimson	Fire Resist +[5-10]%		5-45	3	4	118	added max alvl, added Quiver
Bow and Crossbow Quivers	aqv OR cqv		Russet	Fire Resist +[11-20]%		12	9	4	118	added Quiver
Bow and Crossbow Quivers	aqv OR cqv		Garnet	Fire Resist +[21-30]%		18	13	3	118	added Quiver
Bow and Crossbow Quivers	aqv OR cqv		Tangerine	Lightning Resist +[5-10]%		5-45	3	4	119	added max alvl, added Quiver
Bow and Crossbow Quivers	aqv OR cqv		Ocher	Lightning Resist +[11-20]%		12	9	4	119	added Quiver
Bow and Crossbow Quivers	aqv OR cqv		Coral	Lightning Resist +[21-30]%		18	13	3	119	added Quiver
Bow and Crossbow Quivers	aqv OR cqv		Beryl	Poison Resist +[5-10]%		5-45	3	4	120	added max alvl, added Quiver
Bow and Crossbow Quivers	aqv OR cqv		Viridian	Poison Resist +[11-20]%		12	9	4	120	added Quiver
Bow and Crossbow Quivers	aqv OR cqv		Jade	Poison Resist +[21-30]%		18	13	3	120	added Quiver
Bow and Crossbow Quivers	aqv OR cqv		Triumphant	+1 to Mana after each Kill		3-43	2	4	121	added max alvl, added Chest, Helm, Shield, Quiver
Bow and Crossbow Quivers	aqv OR cqv		Aureolic	+[1-3] to Mana after each Kill		12	9	4	121	new*
Bow and Crossbow Quivers	aqv OR cqv		Victorious	+[2-5] to Mana after each Kill		17	12	4	121	added Chest, Helm, Shield, Quiver
Bow and Crossbow Quivers	aqv OR cqv		Lunar	+[25-50] to Attack Rating against Demons, +[10-25]% Damage to Demons		3-43	1	2	123	new
Bow and Crossbow Quivers	aqv OR cqv		Arcadian	+[51-100] to Attack Rating against Demons, +[26-50]% Damage to Demons		15-55	11	2	123	new
Bow and Crossbow Quivers	aqv OR cqv		Unearthly	+[101-150] to Attack Rating against Demons, +[51-100]% Damage to Demons	1	25	18	1	123	new
Bow and Crossbow Quivers	aqv OR cqv		Fletcher's	+1 to Bow and Crossbow Skills (Amazon Only)		20	15	1	125	added Circlet, Quiver, Amulet
Bow and Crossbow Quivers	aqv OR cqv		Bowyer's	+2 to Bow and Crossbow Skills (Amazon Only)		40	30	1	125	added Circlet, Quiver, Amulet
Bow and Crossbow Quivers	aqv OR cqv		Archer's	+3 to Bow and Crossbow Skills (Amazon Only)	1	60	45	1	125	added Circlet, Quiver, Amulet
Bow and Crossbow Quivers	aqv OR cqv		Acrobat's	+1 to Passive and Magic Skills (Amazon Only)		20	15	1	125	added Quiver
Bow and Crossbow Quivers	aqv OR cqv		Gymnast's	+2 to Passive and Magic Skills (Amazon Only)		40	30	1	125	added Quiver
Bow and Crossbow Quivers	aqv OR cqv		Athlete's	+3 to Passive and Magic Skills (Amazon Only)	1	60	45	1	125	added Quiver
Bow and Crossbow Quivers	aqv OR cqv		Snowy	Adds [20-30] to [64-101] Cold Damage (1 second chill)		25-65	18	3	137	added max alvl, split off Circlet, added Quiver, damage was [6-9] to [19-30]
Bow and Crossbow Quivers	aqv OR cqv		Shivering	Adds [37-56] to [115-166] Cold Damage (2 second chill)		35	26	2	137	added Quiver, damage was [10-15] to [31-45]
