ID	Affix	Attributes	Item Types	Magic Only	alvl	rlvl	freq	group	Changes
	Chain Lightning	12% Chance to Cast Level 30 Chain Lightning on Casting	Staff		76	57	1	44	new
	Chain Lightning	14% Chance to Cast Level 18 Chain Lightning on Striking	WeaponP		36-56	27	1	44	new
	Chain Lightning	14% Chance to Cast Level 24 Chain Lightning on Striking	WeaponP		56-76	42	1	44	new
	Chain Lightning	14% Chance to Cast Level 30 Chain Lightning on Striking	WeaponP		76	57	1	44	new
	Ice Barrage	10% Chance to Cast Level 18 Ice Barrage on Casting	Staff		36-56	27	1	44	new
	Ice Barrage	10% Chance to Cast Level 24 Ice Barrage on Casting	Staff		56-76	42	1	44	new
	Ice Barrage	10% Chance to Cast Level 30 Ice Barrage on Casting	Staff		76	57	1	44	new
	Ice Barrage	12% Chance to Cast Level 18 Ice Barrage on Striking	WeaponP		36-56	27	1	44	new
	Ice Barrage	12% Chance to Cast Level 24 Ice Barrage on Striking	WeaponP		56-76	42	1	44	new
	Ice Barrage	12% Chance to Cast Level 30 Ice Barrage on Striking	WeaponP		76	57	1	44	new
	Frost Nova	16% Chance to Cast Level 18 Frost Nova on Casting	Staff		36-56	27	1	44	new
	Frost Nova	16% Chance to Cast Level 24 Frost Nova on Casting	Staff		56-76	42	1	44	new
	Frost Nova	16% Chance to Cast Level 30 Frost Nova on Casting	Staff		76	57	1	44	new
	Frost Nova	18% Chance to Cast Level 18 Frost Nova on Striking	WeaponP		36-56	27	1	44	new
	Frost Nova	18% Chance to Cast Level 24 Frost Nova on Striking	WeaponP		56-76	42	1	44	new
	Frost Nova	18% Chance to Cast Level 30 Frost Nova on Striking	WeaponP		76	57	1	44	new
	Nova	14% Chance to Cast Level 18 Nova on Casting	Staff		36-56	27	1	44	new
	Nova	14% Chance to Cast Level 24 Nova on Casting	Staff		56-76	42	1	44	new
	Nova	14% Chance to Cast Level 30 Nova on Casting	Staff		76	57	1	44	new
	Nova	16% Chance to Cast Level 18 Nova on Striking	WeaponP		36-56	27	1	44	new
	Nova	16% Chance to Cast Level 24 Nova on Striking	WeaponP		56-76	42	1	44	new
	Nova	16% Chance to Cast Level 30 Nova on Striking	WeaponP		76	57	1	44	new
	Nova	10% Chance to Cast Level 3 Nova on Striking	Melee Weapon, Orb		12-36	9	1	44	added max alvl, alvl was 18, rlvl was 13
	Nova	12% Chance to Cast Level 4 Nova on Striking	Melee Weapon, Orb		18-36	14	1	44	added max alvl, alvl was 28, rlvl was 21
	Firebolts	10% Chance to Cast Level 8 Fire Bolt on Striking	Melee Weapon, Orb		16-36	12	1	44	added max alvl
	Charged Shield	10% Chance to Cast Level 3 Charged Bolt when Struck	Armor, Ring, Amulet		6	4	1	44	
	Charged Shield	12% Chance to Cast Level 4 Charged Bolt when Struck	Armor, Ring, Amulet		16	12	1	44	
	Charged Shield	14% Chance to Cast Level 5 Charged Bolt when Struck	Armor, Ring, Amulet		26	19	1	44	
	Frost Shield	5% Chance to Cast Level 3 Frost Nova when Struck	Armor, Amulet		12	9	1	44	
	Nova Shield	10% Chance to Cast Level 3 Nova when Struck	Armor, Ring		18	13	1	44	
	Nova Shield	12% Chance to Cast Level 4 Nova when Struck	Armor, Ring		28	21	1	44	
	Nova Shield	14% Chance to Cast Level 5 Nova when Struck	Armor, Ring		38	28	1	44	
	Hydra Shield	10% Chance to Cast Level 3 Hydra when Struck	Amulet		40	30	1	44	
	Teleportation	Level [1-3] Teleport ([22-27] charges)	Amulet, Circlet		48	48	1	44	
	Teleportation	Level [1-6] Teleport ([33-52] charges)	Staff, Orb		24	24	1	44	
	Telekinesis	Level 5 Telekinesis (32 charges)	Ring		24	24	1	44	removed Hammer, Tipped Mace, Scepter, Circlet
	Life Tap	Level 1 Life Tap ([22-27] charges)	Axe		48	48	1	44	was level [1-3]
	Life Tap	Level 1 Life Tap ([67-105] charges)	Wand, Knife, Necromancer Shield		24	24	1	44	
	Lower Resistance	Level 15 Lower Resist ([28-82] charges)	Staff		72	72	1	44	was level [1-15], number of charges may be different
	Lower Resistance	Level 15 Lower Resist ([28-82] charges)	Wand, Knife, Necromancer Shield		36	36	1	44	was level [1-15], number of charges may be different
	Damage Amplification	10% Chance to Cast Level 23 Amplify Damage on Striking	WeaponP		36-76	27	1	44	new
	Damage Amplification	12% Chance to Cast Level 31 Amplify Damage on Striking	WeaponP		76	57	1	44	new
	Damage Amplification	8% Chance to Cast Level 15 Amplify Damage on Casting	Staff		15-55	15	1	44	new
	Damage Amplification	10% Chance to Cast Level 23 Amplify Damage on Casting	Staff		36-76	27	1	44	new
	Damage Amplification	12% Chance to Cast Level 31 Amplify Damage on Casting	Staff		76	57	1	44	new
	Lower Resist	8% Chance to Cast Level 5 Lower Resist on Striking	WeaponP		15-55	15	1	44	new
	Lower Resist	10% Chance to Cast Level 10 Lower Resist on Striking	WeaponP		36-76	27	1	44	new
	Lower Resist	12% Chance to Cast Level 15 Lower Resist on Striking	WeaponP		76	57	1	44	new
	Lower Resist	8% Chance to Cast Level 5 Lower Resist on Casting	Staff		15-55	15	1	44	new
	Lower Resist	10% Chance to Cast Level 10 Lower Resist on Casting	Staff		36-76	27	1	44	new
	Lower Resist	12% Chance to Cast Level 15 Lower Resist on Casting	Staff		76	57	1	44	new
797	Defending	Physical Damage Taken Reduced by [5-10]%	Chest, Shield		45	20	3	251	new, increased frequency
798	Defending	Physical Damage Taken Reduced by [5-10]%	Belt		65	40	2	251	new, increased frequency
799	Protecting	Physical Damage Taken Reduced by [10-15]%	Chest, Shield		65	40	2	251	new, increased frequency
800	Guardianship	Physical Damage Taken Reduced by [15-20]%	Chest, Shield		85	60	1	251	new
	Savagery	[5-10]% Deadly Strike	WeaponP, Quiver		18-58	15	2	252	new
	Devastation	[10-15]% Deadly Strike	WeaponP, Quiver		28-68	25	2	252	new
	Havoc	[15-20]% Deadly Strike	WeaponP, Quiver		38	35	2	252	new
	Destruction	[20-25]% Deadly Strike	WeaponP, Quiver		48	45	2	252	new
	Desolation	[25-30]% Deadly Strike	WeaponP, Quiver		58	55	2	252	new
806	Bleeding	10% Chance of Open Wounds, +[8-12] Open Wounds Damage per Second	WeaponP, Quiver		18-58	15	2	252	new
807	Siphoning	10% Chance of Open Wounds, +[15-20] Open Wounds Damage per Second	WeaponP, Quiver		28-68	25	2	252	new
808	Gory	10% Chance of Open Wounds, +[33-46] Open Wounds Damage per Second	WeaponP, Quiver		38	35	2	252	new
809	Sanguinary	10% Chance of Open Wounds, +[122-172] Open Wounds Damage per Second	WeaponP, Quiver		48	45	2	252	new
810	Hematic	10% Chance of Open Wounds, +[235-325] Open Wounds Damage per Second	WeaponP, Quiver		58	55	2	252	new
	Chipping	[5-10]% Chance of Crushing Blow	WeaponP, Quiver		18-58	15	2	252	new
	Crumbling	[10-15]% Chance of Crushing Blow	WeaponP, Quiver		28-68	25	2	252	new
	Breaking	[15-20]% Chance of Crushing Blow	WeaponP, Quiver		38	35	2	252	new
	Crushing	[20-25]% Chance of Crushing Blow	WeaponP, Quiver		48	45	2	252	new
	Pulverizing	[25-30]% Chance of Crushing Blow	WeaponP, Quiver		58	55	2	252	new
